"","plot_ID","LAT","LON"
"76","37_175_10",35.341775,-82.722617
"77","37_27_7",35.972309,-81.717663
"78","37_113_10",35.26119,-83.557826
"79","37_111_39",35.801427,-82.076057
"80","37_75_46",35.344155,-83.832279
"81","37_75_48",35.34456,-83.631109
"82","37_113_63",35.13912,-83.526601
"83","37_75_37",35.440943,-83.775492
"84","37_75_32",35.431445,-83.690584
"85","37_113_41",35.077761,-83.521438
"86","37_113_61",35.143269,-83.613559
"87","37_43_1",35.034329,-83.678022
"88","37_173_82",35.56196,-83.627915
"89","37_115_32",35.76092,-82.942264
"90","37_87_42",35.760104,-83.140542
"91","37_113_79",35.045404,-83.457898
"92","39_127_4165",39.575522,-82.153233
"93","39_87_1472",38.658549,-82.610231
"94","39_87_8383",38.713562,-82.605635
"95","39_87_12789",38.641386,-82.560709
"96","39_73_12472",39.547609,-82.237929
"97","39_167_14073",39.46192,-81.179558
"98","39_111_13152",39.608766,-81.110884
"99","39_167_14052",39.47543,-81.338954
"100","39_73_47",39.565521,-82.265308
"101","39_111_4162",39.607135,-81.175701
"102","39_53_8375",38.846134,-82.538529
"103","39_53_5288",38.81427,-82.440905
"104","39_87_4550",38.823803,-82.642993
"105","39_87_1217",38.76664,-82.536898
"106","39_145_4036",38.752792,-82.692639
"107","39_87_2686",38.691051,-82.685664
"108","39_87_266",38.671581,-82.751228
"109","39_53_612",38.799721,-82.53196
"110","39_87_638",38.636948,-82.581214
"111","39_87_595",38.744091,-82.570256
"112","39_127_629",39.564718,-82.158969
"113","39_87_192",38.644015,-82.419059
"114","39_111_7156",39.627984,-80.957114
"115","39_87_11220",38.581049,-82.609824
"116","39_9_8312",39.419027,-82.249812
"117","39_73_409",39.479537,-82.199423
"118","39_87_12775",38.663325,-82.64144
"119","39_9_11689",39.446516,-82.129428
"120","39_87_15693",38.743409,-82.599593
"121","39_87_12778",38.651749,-82.495779
"122","39_87_12785",38.604532,-82.509731
"123","39_167_14071",39.490571,-81.105426
